FL_DATE,CRS_DEP_TIME,DEP_TIME,DEP_DELAY
8/1/2025 12:00:00 AM,0500,0454,-6
8/1/2025 12:00:00 AM,0605,0555,-10
8/1/2025 12:00:00 AM,0700,0711,11
8/1/2025 12:00:00 AM,1106,0852,1306
8/1/2025 12:00:00 AM,1227,1232,5
8/1/2025 12:00:00 AM,1432,1432,0
8/1/2025 12:00:00 AM,1535,1752,137
8/1/2025 12:00:00 AM,1612,1605,-7
8/2/2025 12:00:00 AM,0500,0944,284
8/2/2025 12:00:00 AM,0605,0601,-4
8/2/2025 12:00:00 AM,0700,0651,-9
8/2/2025 12:00:00 AM,1106,1521,255
8/2/2025 12:00:00 AM,1406,1456,50
8/2/2025 12:00:00 AM,1612,1608,-4
8/3/2025 12:00:00 AM,0500,0456,-4
8/3/2025 12:00:00 AM,0605,0558,-7
8/3/2025 12:00:00 AM,0700,0652,-8
8/3/2025 12:00:00 AM,1106,1101,-5
8/3/2025 12:00:00 AM,1432,1922,290
8/3/2025 12:00:00 AM,1612,1737,85
8/4/2025 12:00:00 AM,0500,0502,2
8/4/2025 12:00:00 AM,0700,0655,-5
8/4/2025 12:00:00 AM,1227,1430,123
8/4/2025 12:00:00 AM,1432,1448,16
8/4/2025 12:00:00 AM,1535,1537,2
8/4/2025 12:00:00 AM,1612,1642,30
8/5/2025 12:00:00 AM,0500,0506,6
8/5/2025 12:00:00 AM,0605,0557,-8
8/5/2025 12:00:00 AM,0700,0653,-7
8/5/2025 12:00:00 AM,1106,1101,-5
8/5/2025 12:00:00 AM,1227,1237,10
8/5/2025 12:00:00 AM,1432,1428,-4
8/5/2025 12:00:00 AM,1535,1555,20
8/5/2025 12:00:00 AM,1612,1603,-9
8/6/2025 12:00:00 AM,0500,0457,-3
8/6/2025 12:00:00 AM,0600,0550,-10
8/6/2025 12:00:00 AM,0700,0654,-6
8/6/2025 12:00:00 AM,1013,1005,-8
8/6/2025 12:00:00 AM,1225,1212,-13
8/6/2025 12:00:00 AM,1433,1423,-10
8/6/2025 12:00:00 AM,1534,1524,-10
8/6/2025 12:00:00 AM,1641,1633,-8
8/7/2025 12:00:00 AM,0500,0449,-11
8/7/2025 12:00:00 AM,0600,0555,-5
8/7/2025 12:00:00 AM,0700,0651,-9
8/7/2025 12:00:00 AM,1014,1014,0
8/7/2025 12:00:00 AM,1225,1222,-3
8/7/2025 12:00:00 AM,1433,1432,-1
8/7/2025 12:00:00 AM,1536,1556,20
8/7/2025 12:00:00 AM,1640,1630,-10
8/8/2025 12:00:00 AM,0500,0500,0
8/8/2025 12:00:00 AM,0600,0551,-9
8/8/2025 12:00:00 AM,0700,0651,-9
8/8/2025 12:00:00 AM,1014,1008,-6
8/8/2025 12:00:00 AM,1225,1218,-7
8/8/2025 12:00:00 AM,1433,1434,1
8/8/2025 12:00:00 AM,1536,1528,-8
8/8/2025 12:00:00 AM,1640,1653,13
8/9/2025 12:00:00 AM,0500,0452,-8
8/9/2025 12:00:00 AM,0600,0550,-10
8/9/2025 12:00:00 AM,0700,0653,-7
8/9/2025 12:00:00 AM,1433,1438,5
8/9/2025 12:00:00 AM,1536,1542,6
8/9/2025 12:00:00 AM,1640,1633,-7
8/10/2025 12:00:00 AM,0500,0454,-6
8/10/2025 12:00:00 AM,0600,0554,-6
8/10/2025 12:00:00 AM,0700,0655,-5
8/10/2025 12:00:00 AM,1014,1007,-7
8/10/2025 12:00:00 AM,1219,1213,-6
8/10/2025 12:00:00 AM,1433,1427,-6
8/10/2025 12:00:00 AM,1536,2301,445
8/10/2025 12:00:00 AM,1640,1923,163
8/11/2025 12:00:00 AM,0500,0457,-3
8/11/2025 12:00:00 AM,0600,0711,71
8/11/2025 12:00:00 AM,0700,0655,-5
